mark_time_ns,sweep_time_ns
11033,9227
8858,5955
7559,5839
7184,5727
6769,5562
6092,5172
6444,5436
6067,5355
6371,5406
6427,5366
6382,5571
6121,5419
6454,5530
6365,5400
6488,5492
6400,5639
6957,5660
