timestamp_ns,collection,mark_time_ns,sweep_time_ns
19953346,0,21261,11231
32567216,1,10730,6843
45420971,2,9528,6613
58270359,3,9158,6472
71116711,4,8566,6523
83944779,5,8356,6462
96795499,6,8175,6432
109660426,7,7965,6412
122512579,8,7985,6332
135338502,9,7745,6281
148413841,10,10419,7384
161263118,11,8196,6632
174076798,12,7755,6352
186914683,13,7765,6302
199761757,14,7805,6402
