timestamp_ns,collection,mark_time_ns,sweep_time_ns
11902420,0,21440,12234
21996353,1,10851,7263
31998832,2,9007,7064
41775501,3,8296,6823
51536150,4,7825,6382
61309252,5,7464,6282
71085801,6,7203,6262
80846639,7,7384,6202
90602018,8,7504,6322
100379789,9,6903,6242
110153222,10,6923,6463
119936453,11,7064,6312
129709475,12,7124,6112
139472198,13,6853,6131
149242855,14,6923,6092
159009636,15,7203,5992
168775194,16,6492,6212
178638908,17,7544,6182
188428161,18,7274,6893
198218967,19,7965,6132
208021796,20,7324,6332
217807061,21,7254,6312
227608377,22,6993,6373
237383934,23,6693,5941
247172295,24,6914,6121
257125471,25,7925,7995
267184427,26,7855,6643
277406665,27,6863,6192
287803606,28,7074,6542
297967694,29,8075,7034
308054955,30,7033,6322
318074216,31,8065,7524
328171245,32,7524,6493
337938115,33,6943,6232
347714834,34,6853,6312
357476434,35,6843,6032
367269475,36,6673,6051
377032228,37,6672,6012
386805871,38,6692,6062
396583211,39,6622,6222
406351083,40,6592,6192
416133994,41,6803,6322
425921464,42,7063,6022
435685990,43,7123,5941
445449954,44,6683,5921
455244076,45,6763,5962
465038148,46,6513,5941
474822092,47,6883,5911
484620672,48,6844,5861
494415155,49,7094,6132
504186634,50,7064,5911
513967341,51,6943,5981
523749881,52,6943,5992
533519086,53,6792,6012
543293961,54,6653,5941
553056584,55,6382,5931
562828624,56,6883,6262
572588270,57,6362,5992
582352405,58,6553,6041
592116510,59,6793,6182
601878662,60,6623,5911
611640473,61,6562,5952
621457859,62,6503,6151
631265267,63,6652,5982
641101489,64,6472,5972
650864302,65,6653,5991
660653044,66,6573,5971
670440433,67,6984,6011
680222993,68,7064,5941
690003119,69,6893,6021
699779617,70,6984,5911
709540596,71,6413,6051
719325752,72,6522,6102
729094746,73,6753,6142
738863490,74,6723,6072
748634057,75,6493,5951
758403583,76,7183,6272
768170654,77,7183,5891
777940580,78,6773,5921
787701870,79,6752,5852
797484860,80,7314,5892
807248244,81,6623,5941
817031606,82,6352,6061
826810449,83,6352,5952
836590605,84,6482,6182
846343278,85,6923,6322
856141658,86,6893,6373
865913779,87,6883,6231
875698693,88,7023,6232
885478147,89,6923,6192
895260177,90,7123,6102
905045092,91,6933,6001
914828083,92,6883,5881
924625731,93,6823,5992
934409033,94,6733,6232
944178298,95,6492,5962
953955518,96,6733,6062
963741645,97,6723,6012
973513014,98,6673,5861
983291997,99,6723,5941
993131877,100,7324,6091
1002911141,101,6613,6041
1012682309,102,6542,6302
1022458367,103,6653,6041
1032242981,104,6543,6182
1042018428,105,6753,6001
1051782292,106,6823,6192
1061547850,107,8145,5962
1071333356,108,6783,5921
1081107310,109,6613,5871
1090849032,110,6643,5931
1100635259,111,6703,5841
1110418441,112,6903,5961
1120209237,113,7193,6252
1129992829,114,6883,6232
1139813171,115,6914,6292
1149587867,116,6762,6192
1159382269,117,6994,6302
1169165561,118,6853,6222
1179066396,119,6903,6603
1188884234,120,6592,5982
1198673767,121,7585,6743
1208441399,122,7074,6181
1218708553,123,8436,8256
1229469287,124,7594,7194
1239632242,125,6893,6412
1249417357,126,6983,6302
1260944581,127,37572,30708
1271919083,128,26009,17163
1282650091,129,8536,6933
1293060868,130,7123,6232
1303143319,131,7184,6122
1312982497,132,6994,6021
1322850009,133,7104,5941
1332620607,134,6963,5961
1342395413,135,7263,5992
1352169407,136,6712,5942
1361936768,137,6873,5881
1371707645,138,6894,5871
1381507288,139,7104,5881
1391277254,140,6913,6002
1401037372,141,6412,5961
1410812247,142,6703,6102
1420588877,143,6692,5972
1430363071,144,6883,6202
1440151903,145,6702,6042
1449919594,146,6603,6072
1459681566,147,6843,6212
1469438547,148,6743,6082
1479219585,149,6913,6021
1488989170,150,6322,5961
1498754678,151,6772,6112
1508518402,152,6472,5952
1518289010,153,7063,6152
1528073243,154,6633,6522
1537839873,155,6953,5981
1547691024,156,7434,6132
1557622828,157,7134,6021
1567564692,158,6853,5991
1577412566,159,7244,6062
1587196760,160,6813,6082
1596974251,161,6753,5971
1606759576,162,6863,6102
1616543689,163,6633,6041
1626348221,164,7154,6111
1636128156,165,6803,6132
1645918612,166,6843,6052
1655690432,167,6552,5962
1665477029,168,6874,5871
1675253708,169,6653,6222
1685020519,170,6472,5921
1694794142,171,6623,6171
1704564720,172,6532,6643
1714333523,173,6623,5981
1724095003,174,6673,6042
1733859299,175,6342,6111
1743788558,176,6893,6252
1753634379,177,6713,6061
1763410948,178,6562,6012
1773170775,179,6583,6061
1782934189,180,6622,6102
1792707892,181,6602,5972
1802482136,182,6583,6282
1812263504,183,6994,5991
1822048089,184,6552,6012
1831837352,185,6903,6262
1841602669,186,6833,6051
1851384097,187,7103,6192
1861165735,188,6963,6022
1870951923,189,7013,6071
1880704265,190,6553,6101
1890474893,191,7013,6342
1900244408,192,6903,6092
1910037488,193,6673,6111
1919815469,194,7064,6071
1929579644,195,6874,6392
1939533291,196,6873,6142
1949306714,197,6723,6162
1959064397,198,6492,6142
1968836978,199,6572,6122
1978690533,200,6713,6673
1988475979,201,6643,6131
1998246737,202,6873,6102
2008012525,203,6913,6353
2017800997,204,6973,6021
2027572265,205,6703,6122
2037324297,206,6442,6072
2047107529,207,6813,6172
2056878167,208,6813,6121
2066649726,209,6923,6232
2076439439,210,6964,6141
2086216339,211,6803,6232
2095995282,212,6853,6162
2105794524,213,6733,5981
2115558699,214,6573,6131
2125333916,215,6973,5851
2135112759,216,6592,6002
2144882164,217,6392,5941
18446744071569243884,218,6823,5941
18446744071579017708,219,6993,6031
18446744071588788345,220,6603,5991
18446744071598665516,221,6653,6292
18446744071608458085,222,7013,6152
18446744071618227961,223,6863,6212
18446744071628131712,224,10700,6353
18446744071638324925,225,6763,5941
18446744071648110271,226,6602,6042
18446744071657895456,227,6693,6051
18446744071667672586,228,6362,5981
18446744071679909422,229,28044,17563
18446744071690794543,230,10080,7514
18446744071701575646,231,7755,6913
18446744071712180563,232,7625,6723
18446744071722599366,233,7474,6713
18446744071732837795,234,6943,6302
18446744071742934914,235,7054,6242
18446744071752848955,236,7004,6181
18446744071762617900,237,6843,6001
18446744071772413495,238,7033,6011
18446744071782203990,239,7173,6132
18446744071791969467,240,7214,5911
18446744071801743692,241,7234,6302
18446744071811520622,242,6753,5941
18446744071821307380,243,7123,5982
18446744071831074500,244,7144,6001
18446744071840847242,245,6923,5991
18446744071850610766,246,7123,6192
18446744071860400951,247,7645,6191
18446744071870170927,248,7264,6061
18446744071879944530,249,7104,6171
18446744071889734224,250,6743,5931
18446744071899638676,251,7224,6001
18446744071909542187,252,6723,6081
18446744071919433143,253,6473,5821
18446744071929210765,254,6752,5952
18446744071938996150,255,6523,6322
18446744071948785984,256,6623,6091
18446744071958559527,257,6803,6182
18446744071968344592,258,6542,6182
18446744071978121351,259,6713,6212
18446744071987876259,260,6713,6162
18446744071997665472,261,6853,6162
18446744072007452280,262,6793,6202
18446744072017213570,263,6793,6021
18446744072026976923,264,6713,6082
18446744072036757831,265,6833,6182
18446744072046522056,266,6633,6181
18446744072056425206,267,6663,6131
18446744072066185293,268,6753,6142
18446744072075941182,269,6393,6111
18446744072085699968,270,6713,6251
18446744072095463992,271,6563,5901
18446744072105246603,272,7013,5851
18446744072115014575,273,6493,6332
18446744072124799700,274,6623,6051
18446744072134574405,275,6703,5982
18446744072144352948,276,6602,6102
18446744072154117043,277,6953,6282
18446744072163889685,278,6572,6162
18446744072173682735,279,6963,6052
18446744072183451298,280,6813,6312
18446744072193239319,281,7183,6142
18446744072203011519,282,6683,6122
18446744072212800011,283,7204,6402
18446744072222584264,284,6803,6373
18446744072232360603,285,7103,6422
18446744072242134246,286,6793,6202
18446744072251913039,287,6733,5881
18446744072261699206,288,6623,6051
18446744072271490914,289,6803,5921
18446744072281278674,290,7063,5972
18446744072291065693,291,6742,5942
18446744072300861828,292,7074,5941
18446744072310637686,293,6492,6362
18446744072320451375,294,6673,6342
18446744072330400743,295,6663,5962
18446744072340410266,296,6733,6012
18446744072350401374,297,6653,6041
18446744072360207309,298,6783,5891
18446744072369992213,299,6563,5901
18446744072379819779,300,6543,5931
18446744072389712590,301,7394,6031
18446744072399625138,302,6612,5972
18446744072409524300,303,6783,6082
18446744072419307892,304,6663,5981
18446744072429073279,305,7064,6182
18446744072438833738,306,6783,5871
18446744072448628622,307,7123,6292
18446744072458397506,308,7093,6252
18446744072468182290,309,7003,6483
18446744072477937348,310,6883,6282
18446744072487726751,311,7003,6082
18446744072497498430,312,6683,6212
18446744072507288956,313,6572,6102
18446744072517063952,314,6412,6723
18446744072526812177,315,6302,6011
18446744072536605277,316,6803,6041
18446744072546366186,317,6712,6042
18446744072556141532,318,6863,6162
18446744072566056264,319,6563,6162
18446744072575801975,320,6302,6031
18446744072585583903,321,6633,6162
18446744072595520978,322,6482,6443
18446744072605292898,323,7053,6292
18446744072615055761,324,7103,6192
18446744072624878608,325,7564,6813
18446744072635019992,326,7023,6533
18446744072645241228,327,7173,6333
18446744072655092739,328,6853,5932
18446744072664855993,329,6873,5831
18446744072675447895,330,16602,15229
18446744072686236222,331,10550,7154
18446744072697082309,332,8165,7164
18446744072707867008,333,7825,7013
18446744072718633393,334,8035,6733
18446744072729259711,335,7274,6592
18446744072739688793,336,6974,6312
18446744072750024067,337,6933,6132
18446744072760196279,338,6984,6221
18446744072770196264,339,6692,6242
18446744072780036454,340,6562,6062
18446744072789804587,341,6803,6021
18446744072799576487,342,6993,5951
18446744072809352695,343,7103,5952
18446744072819124745,344,6993,5951
18446744072828889200,345,7094,5981
18446744072838658045,346,6792,6072
18446744072848422761,347,7234,5971
18446744072858197376,348,6663,5951
18446744072867965038,349,6913,5831
18446744072877743620,350,6703,5871
18446744072887504790,351,6592,5871
18446744072897283653,352,6493,6061
18446744072907062647,353,6723,6111
18446744072916841299,354,6793,5871
18446744072926633277,355,7254,6022
18446744072936415467,356,7093,6192
18446744072946212925,357,6863,5882
18446744072956006296,358,6492,6032
18446744072965792523,359,6503,5921
18446744072975562360,360,6652,5962
18446744072985349038,361,7063,6052
18446744072995121819,362,6583,5931
18446744073005100242,363,6673,6072
18446744073015083104,364,6633,5921
18446744073025093138,365,6493,6011
18446744073034909523,366,6412,6022
18446744073044753390,367,7474,6893
18446744073054609119,368,6843,6172
18446744073064378184,369,6482,6042
18446744073074155665,370,6562,5941
18446744073083923607,371,6593,5911
18446744073093729001,372,6672,6202
18446744073103507283,373,6632,6393
18446744073113267530,374,6603,6212
18446744073123049550,375,6652,6022
18446744073132811691,376,6362,6332
18446744073142608128,377,6492,6202
18446744073152430965,378,6722,6172
18446744073162224305,379,6593,6091
18446744073172041331,380,6733,6222
18446744073182002471,381,6713,6272
18446744073191835618,382,6723,6071
18446744073201636423,383,6623,6232
18446744073211444883,384,6402,6012
18446744073221257510,385,6783,6002
18446744073231073184,386,6552,5901
18446744073240873818,387,6683,5841
18446744073250684582,388,7114,5931
18446744073260477192,389,7123,6052
18446744073270287585,390,7023,6012
18446744073280049345,391,6563,5941
18446744073289831825,392,6733,6012
18446744073299600509,393,6232,6272
18446744073309377509,394,6643,5901
18446744073319148668,395,6823,6001
18446744073328976304,396,6512,5971
18446744073338899371,397,6753,6112
18446744073348683905,398,6723,6202
18446744073358492586,399,6592,5961
18446744073368341331,400,6863,6192
18446744073378130054,401,7183,6042
18446744073387920549,402,6853,6162
18446744073397721855,403,6653,6121
18446744073407490689,404,6763,5971
18446744073417277367,405,6873,6132
18446744073427050780,406,6813,6111
18446744073436827018,407,6513,6031
18446744073446597455,408,6513,5921
18446744073456367642,409,6472,6052
18446744073466136115,410,6753,6082
18446744073475877557,411,6512,5841
18446744073485649217,412,6552,5841
18446744073495429783,413,6443,5831
18446744073505219597,414,6713,5811
18446744073514999382,415,6472,5992
18446744073524769609,416,6362,5921
18446744073534546308,417,6662,6022
18446744073544339358,418,6483,5931
18446744073554111298,419,6603,5891
18446744073563887206,420,6712,6252
18446744073573664656,421,6462,6242
18446744073583436806,422,6543,6051
18446744073593373881,423,6722,6122
18446744073603146161,424,7074,6132
18446744073612923211,425,6924,6302
18446744073622699680,426,6603,6071
18446744073632705516,427,6883,6472
18446744073642602894,428,7495,6352
18446744073652390855,429,6552,5942
18446744073662167093,430,6573,6262
18446744073673011898,431,32221,31129
18446744073684343359,432,21361,13105
18446744073695126256,433,8245,6683
18446744073705839589,434,7625,6803
6788381,435,7475,6462
17109979,436,6813,6282
27308852,437,8015,7094
37201773,438,7153,6032
46961510,439,6582,6002
56742978,440,6632,6042
66519246,441,6592,6112
76299021,442,6592,5901
