timestamp_ns,collection,mark_time_ns,sweep_time_ns
37559893,0,42421,15780
66340925,1,12063,7665
95032176,2,10450,7414
123712596,3,10049,7254
152389018,4,9518,7354
181055752,5,9027,7374
209747173,6,9358,7414
238448443,7,9258,7494
265855927,8,10701,7795
